"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Lawrence County, MO"	"29109"	"75-84 years"	"75-84"	"May, 2012"	"2012/05"	10	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"75-84 years"	"75-84"	"Jul., 2012"	"2012/07"	11	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"75-84 years"	"75-84"	"Aug., 2012"	"2012/08"	10	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"75-84 years"	"75-84"	"Nov., 2012"	"2012/11"	10	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"75-84 years"	"75-84"	"Dec., 2012"	"2012/12"	10	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Jan., 2010"	"2010/01"	11	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Feb., 2010"	"2010/02"	10	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Mar., 2010"	"2010/03"	13	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Apr., 2010"	"2010/04"	12	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Jun., 2010"	"2010/06"	13	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Jul., 2010"	"2010/07"	14	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Aug., 2010"	"2010/08"	10	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Sep., 2010"	"2010/09"	11	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Oct., 2010"	"2010/10"	13	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Nov., 2010"	"2010/11"	11	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Dec., 2010"	"2010/12"	14	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Jan., 2011"	"2011/01"	21	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Feb., 2011"	"2011/02"	11	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Mar., 2011"	"2011/03"	17	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Apr., 2011"	"2011/04"	13	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Jun., 2011"	"2011/06"	11	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Jul., 2011"	"2011/07"	13	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Aug., 2011"	"2011/08"	13	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Sep., 2011"	"2011/09"	14	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Oct., 2011"	"2011/10"	10	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Dec., 2011"	"2011/12"	16	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Jan., 2012"	"2012/01"	13	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Feb., 2012"	"2012/02"	18	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Mar., 2012"	"2012/03"	15	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Apr., 2012"	"2012/04"	13	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Jun., 2012"	"2012/06"	11	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Jul., 2012"	"2012/07"	16	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Oct., 2012"	"2012/10"	15	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Nov., 2012"	"2012/11"	10	Not Applicable	Not Applicable
	"Lawrence County, MO"	"29109"	"85+ years"	"85+"	"Dec., 2012"	"2012/12"	12	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"65-74 years"	"65-74"	"Aug., 2011"	"2011/08"	11	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"65-74 years"	"65-74"	"Jan., 2012"	"2012/01"	10	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"65-74 years"	"65-74"	"Jul., 2012"	"2012/07"	10	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"65-74 years"	"65-74"	"Dec., 2012"	"2012/12"	10	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"75-84 years"	"75-84"	"Jan., 2010"	"2010/01"	13	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"75-84 years"	"75-84"	"Feb., 2010"	"2010/02"	11	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"75-84 years"	"75-84"	"Mar., 2010"	"2010/03"	10	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"75-84 years"	"75-84"	"Jun., 2010"	"2010/06"	10	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"75-84 years"	"75-84"	"Jul., 2010"	"2010/07"	13	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"75-84 years"	"75-84"	"Oct., 2010"	"2010/10"	10	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"75-84 years"	"75-84"	"Jan., 2011"	"2011/01"	10	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"75-84 years"	"75-84"	"May, 2011"	"2011/05"	19	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"75-84 years"	"75-84"	"Jun., 2011"	"2011/06"	12	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"75-84 years"	"75-84"	"Aug., 2011"	"2011/08"	10	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"75-84 years"	"75-84"	"Sep., 2011"	"2011/09"	11	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"75-84 years"	"75-84"	"Dec., 2011"	"2011/12"	10	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"75-84 years"	"75-84"	"Feb., 2012"	"2012/02"	10	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"75-84 years"	"75-84"	"Jun., 2012"	"2012/06"	10	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"75-84 years"	"75-84"	"Sep., 2012"	"2012/09"	12	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"85+ years"	"85+"	"Jan., 2010"	"2010/01"	13	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"85+ years"	"85+"	"Mar., 2010"	"2010/03"	15	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"85+ years"	"85+"	"Apr., 2010"	"2010/04"	11	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"85+ years"	"85+"	"Nov., 2010"	"2010/11"	10	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"85+ years"	"85+"	"Jan., 2011"	"2011/01"	15	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"85+ years"	"85+"	"Mar., 2011"	"2011/03"	14	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"85+ years"	"85+"	"Jul., 2011"	"2011/07"	14	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"85+ years"	"85+"	"Nov., 2011"	"2011/11"	15	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"85+ years"	"85+"	"Dec., 2011"	"2011/12"	14	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"85+ years"	"85+"	"Feb., 2012"	"2012/02"	11	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"85+ years"	"85+"	"Mar., 2012"	"2012/03"	10	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"85+ years"	"85+"	"Apr., 2012"	"2012/04"	11	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"85+ years"	"85+"	"Aug., 2012"	"2012/08"	11	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"85+ years"	"85+"	"Sep., 2012"	"2012/09"	10	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"85+ years"	"85+"	"Oct., 2012"	"2012/10"	11	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"85+ years"	"85+"	"Nov., 2012"	"2012/11"	12	Not Applicable	Not Applicable
	"Lincoln County, MO"	"29113"	"85+ years"	"85+"	"Dec., 2012"	"2012/12"	10	Not Applicable	Not Applicable
	"Linn County, MO"	"29115"	"85+ years"	"85+"	"Jan., 2011"	"2011/01"	10	Not Applicable	Not Applicable
	"Linn County, MO"	"29115"	"85+ years"	"85+"	"Jun., 2011"	"2011/06"	11	Not Applicable	Not Applicable
	"Linn County, MO"	"29115"	"85+ years"	"85+"	"Nov., 2011"	"2011/11"	10	Not Applicable	Not Applicable
	"Livingston County, MO"	"29117"	"85+ years"	"85+"	"Sep., 2011"	"2011/09"	11	Not Applicable	Not Applicable
	"Livingston County, MO"	"29117"	"85+ years"	"85+"	"Oct., 2011"	"2011/10"	10	Not Applicable	Not Applicable
	"Livingston County, MO"	"29117"	"85+ years"	"85+"	"Oct., 2012"	"2012/10"	10	Not Applicable	Not Applicable
	"McDonald County, MO"	"29119"	"65-74 years"	"65-74"	"Aug., 2011"	"2011/08"	10	Not Applicable	Not Applicable
	"Macon County, MO"	"29121"	"85+ years"	"85+"	"Mar., 2011"	"2011/03"	11	Not Applicable	Not Applicable
	"Macon County, MO"	"29121"	"85+ years"	"85+"	"Jan., 2012"	"2012/01"	10	Not Applicable	Not Applicable
	"Macon County, MO"	"29121"	"85+ years"	"85+"	"Nov., 2012"	"2012/11"	11	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"65-74 years"	"65-74"	"Sep., 2010"	"2010/09"	10	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"75-84 years"	"75-84"	"May, 2010"	"2010/05"	12	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"75-84 years"	"75-84"	"Dec., 2010"	"2010/12"	12	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"75-84 years"	"75-84"	"Oct., 2011"	"2011/10"	10	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"75-84 years"	"75-84"	"Nov., 2011"	"2011/11"	13	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"85+ years"	"85+"	"Jan., 2010"	"2010/01"	12	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"85+ years"	"85+"	"Feb., 2010"	"2010/02"	10	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"85+ years"	"85+"	"Mar., 2010"	"2010/03"	18	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"85+ years"	"85+"	"Jun., 2010"	"2010/06"	16	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"85+ years"	"85+"	"Jul., 2010"	"2010/07"	10	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"85+ years"	"85+"	"Aug., 2010"	"2010/08"	10	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"85+ years"	"85+"	"Sep., 2010"	"2010/09"	10	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"85+ years"	"85+"	"Dec., 2010"	"2010/12"	19	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"85+ years"	"85+"	"Jan., 2011"	"2011/01"	11	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"85+ years"	"85+"	"Mar., 2011"	"2011/03"	13	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"85+ years"	"85+"	"May, 2011"	"2011/05"	12	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"85+ years"	"85+"	"Jun., 2011"	"2011/06"	11	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"85+ years"	"85+"	"Jul., 2011"	"2011/07"	13	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"85+ years"	"85+"	"Oct., 2011"	"2011/10"	13	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"85+ years"	"85+"	"Jan., 2012"	"2012/01"	10	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"85+ years"	"85+"	"Feb., 2012"	"2012/02"	12	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"85+ years"	"85+"	"Mar., 2012"	"2012/03"	14	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"85+ years"	"85+"	"Jul., 2012"	"2012/07"	13	Not Applicable	Not Applicable
	"Marion County, MO"	"29127"	"85+ years"	"85+"	"Sep., 2012"	"2012/09"	12	Not Applicable	Not Applicable
	"Miller County, MO"	"29131"	"75-84 years"	"75-84"	"Jan., 2012"	"2012/01"	11	Not Applicable	Not Applicable
	"Miller County, MO"	"29131"	"75-84 years"	"75-84"	"Apr., 2012"	"2012/04"	12	Not Applicable	Not Applicable
	"Miller County, MO"	"29131"	"75-84 years"	"75-84"	"Sep., 2012"	"2012/09"	10	Not Applicable	Not Applicable
	"Miller County, MO"	"29131"	"75-84 years"	"75-84"	"Nov., 2012"	"2012/11"	10	Not Applicable	Not Applicable
	"Miller County, MO"	"29131"	"85+ years"	"85+"	"Jun., 2010"	"2010/06"	10	Not Applicable	Not Applicable
	"Miller County, MO"	"29131"	"85+ years"	"85+"	"Dec., 2010"	"2010/12"	12	Not Applicable	Not Applicable
	"Miller County, MO"	"29131"	"85+ years"	"85+"	"Jan., 2011"	"2011/01"	10	Not Applicable	Not Applicable
	"Miller County, MO"	"29131"	"85+ years"	"85+"	"Feb., 2011"	"2011/02"	10	Not Applicable	Not Applicable
	"Miller County, MO"	"29131"	"85+ years"	"85+"	"Jul., 2011"	"2011/07"	12	Not Applicable	Not Applicable
	"Miller County, MO"	"29131"	"85+ years"	"85+"	"Dec., 2011"	"2011/12"	10	Not Applicable	Not Applicable
	"Miller County, MO"	"29131"	"85+ years"	"85+"	"Jun., 2012"	"2012/06"	11	Not Applicable	Not Applicable
	"Miller County, MO"	"29131"	"85+ years"	"85+"	"Sep., 2012"	"2012/09"	12	Not Applicable	Not Applicable
	"Mississippi County, MO"	"29133"	"75-84 years"	"75-84"	"Jun., 2010"	"2010/06"	10	Not Applicable	Not Applicable
	"Mississippi County, MO"	"29133"	"75-84 years"	"75-84"	"Nov., 2011"	"2011/11"	11	Not Applicable	Not Applicable
	"Montgomery County, MO"	"29139"	"85+ years"	"85+"	"Oct., 2010"	"2010/10"	10	Not Applicable	Not Applicable
	"Morgan County, MO"	"29141"	"65-74 years"	"65-74"	"Mar., 2012"	"2012/03"	10	Not Applicable	Not Applicable
	"Morgan County, MO"	"29141"	"65-74 years"	"65-74"	"Sep., 2012"	"2012/09"	11	Not Applicable	Not Applicable
	"Morgan County, MO"	"29141"	"75-84 years"	"75-84"	"Apr., 2010"	"2010/04"	11	Not Applicable	Not Applicable
	"Morgan County, MO"	"29141"	"75-84 years"	"75-84"	"May, 2010"	"2010/05"	11	Not Applicable	Not Applicable
	"Morgan County, MO"	"29141"	"75-84 years"	"75-84"	"Dec., 2010"	"2010/12"	10	Not Applicable	Not Applicable
	"Morgan County, MO"	"29141"	"75-84 years"	"75-84"	"Jan., 2011"	"2011/01"	13	Not Applicable	Not Applicable
	"Morgan County, MO"	"29141"	"75-84 years"	"75-84"	"May, 2011"	"2011/05"	15	Not Applicable	Not Applicable
	"Morgan County, MO"	"29141"	"75-84 years"	"75-84"	"Dec., 2012"	"2012/12"	15	Not Applicable	Not Applicable
	"Morgan County, MO"	"29141"	"85+ years"	"85+"	"Oct., 2010"	"2010/10"	10	Not Applicable	Not Applicable
	"Morgan County, MO"	"29141"	"85+ years"	"85+"	"Nov., 2010"	"2010/11"	11	Not Applicable	Not Applicable
	"Morgan County, MO"	"29141"	"85+ years"	"85+"	"Dec., 2010"	"2010/12"	10	Not Applicable	Not Applicable
	"Morgan County, MO"	"29141"	"85+ years"	"85+"	"Apr., 2011"	"2011/04"	12	Not Applicable	Not Applicable
	"Morgan County, MO"	"29141"	"85+ years"	"85+"	"Jul., 2011"	"2011/07"	10	Not Applicable	Not Applicable
	"Morgan County, MO"	"29141"	"85+ years"	"85+"	"Dec., 2011"	"2011/12"	15	Not Applicable	Not Applicable
	"Morgan County, MO"	"29141"	"85+ years"	"85+"	"May, 2012"	"2012/05"	11	Not Applicable	Not Applicable
	"New Madrid County, MO"	"29143"	"85+ years"	"85+"	"Apr., 2011"	"2011/04"	12	Not Applicable	Not Applicable
	"New Madrid County, MO"	"29143"	"85+ years"	"85+"	"Jan., 2012"	"2012/01"	12	Not Applicable	Not Applicable
	"New Madrid County, MO"	"29143"	"85+ years"	"85+"	"May, 2012"	"2012/05"	10	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"55-64 years"	"55-64"	"Apr., 2011"	"2011/04"	11	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"55-64 years"	"55-64"	"Apr., 2012"	"2012/04"	10	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"65-74 years"	"65-74"	"Jan., 2010"	"2010/01"	10	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"65-74 years"	"65-74"	"Feb., 2010"	"2010/02"	10	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"65-74 years"	"65-74"	"Mar., 2010"	"2010/03"	15	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"65-74 years"	"65-74"	"Aug., 2010"	"2010/08"	13	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"65-74 years"	"65-74"	"Dec., 2010"	"2010/12"	11	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"65-74 years"	"65-74"	"Jan., 2011"	"2011/01"	12	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"65-74 years"	"65-74"	"Mar., 2011"	"2011/03"	10	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"65-74 years"	"65-74"	"Oct., 2011"	"2011/10"	10	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"65-74 years"	"65-74"	"Dec., 2011"	"2011/12"	10	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"65-74 years"	"65-74"	"Feb., 2012"	"2012/02"	13	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"65-74 years"	"65-74"	"Mar., 2012"	"2012/03"	10	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"65-74 years"	"65-74"	"May, 2012"	"2012/05"	14	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"65-74 years"	"65-74"	"Jul., 2012"	"2012/07"	13	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"65-74 years"	"65-74"	"Aug., 2012"	"2012/08"	13	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"65-74 years"	"65-74"	"Oct., 2012"	"2012/10"	14	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"65-74 years"	"65-74"	"Dec., 2012"	"2012/12"	14	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Jan., 2010"	"2010/01"	16	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Feb., 2010"	"2010/02"	15	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Mar., 2010"	"2010/03"	14	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Apr., 2010"	"2010/04"	11	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"May, 2010"	"2010/05"	11	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Jun., 2010"	"2010/06"	18	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Jul., 2010"	"2010/07"	15	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Aug., 2010"	"2010/08"	17	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Nov., 2010"	"2010/11"	10	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Feb., 2011"	"2011/02"	14	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Mar., 2011"	"2011/03"	11	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Apr., 2011"	"2011/04"	16	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"May, 2011"	"2011/05"	15	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Jun., 2011"	"2011/06"	14	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Jul., 2011"	"2011/07"	11	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Aug., 2011"	"2011/08"	14	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Sep., 2011"	"2011/09"	12	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Oct., 2011"	"2011/10"	19	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Dec., 2011"	"2011/12"	16	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Jan., 2012"	"2012/01"	12	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Feb., 2012"	"2012/02"	17	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Mar., 2012"	"2012/03"	14	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Apr., 2012"	"2012/04"	12	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"May, 2012"	"2012/05"	14	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Jul., 2012"	"2012/07"	14	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Aug., 2012"	"2012/08"	11	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Oct., 2012"	"2012/10"	15	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Nov., 2012"	"2012/11"	17	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"75-84 years"	"75-84"	"Dec., 2012"	"2012/12"	18	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"85+ years"	"85+"	"Jan., 2010"	"2010/01"	15	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"85+ years"	"85+"	"Feb., 2010"	"2010/02"	11	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"85+ years"	"85+"	"Mar., 2010"	"2010/03"	11	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"85+ years"	"85+"	"Apr., 2010"	"2010/04"	14	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"85+ years"	"85+"	"May, 2010"	"2010/05"	12	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"85+ years"	"85+"	"Jun., 2010"	"2010/06"	16	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"85+ years"	"85+"	"Jul., 2010"	"2010/07"	12	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"85+ years"	"85+"	"Oct., 2010"	"2010/10"	19	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"85+ years"	"85+"	"Nov., 2010"	"2010/11"	14	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"85+ years"	"85+"	"Dec., 2010"	"2010/12"	14	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"85+ years"	"85+"	"Jan., 2011"	"2011/01"	17	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"85+ years"	"85+"	"Feb., 2011"	"2011/02"	15	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"85+ years"	"85+"	"Mar., 2011"	"2011/03"	13	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"85+ years"	"85+"	"Apr., 2011"	"2011/04"	15	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"85+ years"	"85+"	"May, 2011"	"2011/05"	13	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"85+ years"	"85+"	"Jun., 2011"	"2011/06"	18	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"85+ years"	"85+"	"Jul., 2011"	"2011/07"	13	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"85+ years"	"85+"	"Aug., 2011"	"2011/08"	14	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"85+ years"	"85+"	"Oct., 2011"	"2011/10"	13	Not Applicable	Not Applicable
	"Newton County, MO"	"29145"	"85+ years"	"85+"	"Nov., 2011"	"2011/11"	12	Not Applicable	Not Applicable
